prompt,image_name,index,Quality,Authenticity,Correspondence,score_1,score_2,score_3,score_4,score_5
a corgi,stable-diffusion/000-4.png,0,0.642967143577087,0.610308397448975,0.646682520220804,4,4,4,3,3
a corgi,Unidiffuser/000-1.png,0,0.566964650505948,0.528490901094392,0.5402607507895251,3,3,3,2,3
a corgi,Unidiffuser/000-2.png,0,0.537653546121748,0.523182577268263,0.5183662157687661,3,4,3,2,3
a corgi,Unidiffuser/000-3.png,0,0.3771859891381129,0.435743061950714,0.504956420861143,1,2,2,1,3
a corgi,Unidiffuser/000-4.png,0,0.609718230492863,0.5965232248800789,0.592535064240142,4,4,4,3,3
a girl,Controlnet/001-1.png,1,0.4951482748284019,0.510021140426968,0.5993955983300691,3,3,3,3,3
a girl,Controlnet/001-2.png,1,0.550909090472126,0.598172104122268,0.618362217842691,3,4,4,2,3
a girl,Controlnet/001-3.png,1,0.463058711447997,0.522420434164384,0.562350973493117,3,3,3,3,3
a girl,Controlnet/001-4.png,1,0.495552562972212,0.444525637045953,0.523910365121118,2,3,3,2,2
a girl,DALLE/001-1.png,1,0.61467907168112,0.600212599075566,0.6631809592900799,4,4,4,2,3
a girl,DALLE/001-2.png,1,0.6375455122296529,0.6028601670387961,0.616463731328472,3,4,4,3,3
a girl,DALLE/001-3.png,1,0.553945730317288,0.586987078198188,0.556168481835113,4,4,4,3,3
a girl,DALLE/001-4.png,1,0.690613883601261,0.6740699725297761,0.65320492021801,3,4,3,3,3
a girl,Glide/001-1.png,1,0.374826315992645,0.373717576628482,0.338131432917462,2,2,2,1,1
a girl,Glide/001-2.png,1,0.340567688887177,0.391993789042428,0.320262286413119,3,3,2,3,1
a girl,Glide/001-3.png,1,0.373928306371299,0.428527041394693,0.324438016081821,2,3,2,3,1
a girl,Glide/001-4.png,1,0.319613492235792,0.321957070487867,0.323853899771226,1,1,1,1,1
a girl,Lafite/001-1.png,1,0.4954610780011579,0.453857750904383,0.58874662083608,2,2,2,2,3
a girl,Lafite/001-2.png,1,0.430562811626721,0.460468353976031,0.560249559256977,2,3,3,2,3
a girl,Lafite/001-3.png,1,0.459691883768347,0.437342599424058,0.562471053564154,2,2,2,2,3
a girl,Lafite/001-4.png,1,0.402538223809315,0.3767419080381959,0.537064897233706,2,3,2,2,3
a girl,stable-diffusion/001-1.png,1,0.586443452144554,0.560158936164468,0.5835725708524739,4,4,4,2,3
a girl,stable-diffusion/001-2.png,1,0.407365609947523,0.446900583195591,0.488191609417457,2,2,2,2,3
a girl,stable-diffusion/001-3.png,1,0.548696766535274,0.517730331256385,0.5820585926709689,4,4,4,3,3
a girl,stable-diffusion/001-4.png,1,0.5332929279252361,0.489209354047839,0.550594692980741,3,3,3,3,3
a girl,Unidiffuser/001-1.png,1,0.338361609322132,0.339073440450229,0.4440321481385719,1,2,2,1,3
a girl,Unidiffuser/001-2.png,1,0.470997414029799,0.43210893448408,0.532956371335396,2,2,2,1,3
a girl,Unidiffuser/001-3.png,1,0.6489146013973691,0.6048001810991159,0.687375365521065,3,3,3,3,3
a girl,Unidiffuser/001-4.png,1,0.552766727437304,0.510632026263712,0.577557019730927,4,4,4,2,3
a boat,Controlnet/002-1.png,2,0.627552969711588,0.607043711452261,0.618887164433873,4,4,4,2,3
a boat,Controlnet/002-2.png,2,0.568533607157898,0.584300867942055,0.616148124010154,3,4,3,3,3
a boat,Controlnet/002-3.png,2,0.620392654734845,0.5432731689513389,0.550657502207864,4,3,3,2,2
a boat,Controlnet/002-4.png,2,0.552178076690845,0.54065766812471,0.5453767101206339,4,4,4,3,3
a boat,DALLE/002-1.png,2,0.584728490140319,0.567974576039201,0.6233274139387209,4,4,4,2,3
a boat,DALLE/002-2.png,2,0.54961360038021,0.575113371111676,0.606929727559218,4,4,4,3,3
a boat,DALLE/002-3.png,2,0.59732705747281,0.586555407279936,0.595113490196972,3,4,3,3,3
a boat,DALLE/002-4.png,2,0.593121622200642,0.561951760316963,0.568734346944858,4,4,4,3,3
a boat,Glide/002-1.png,2,0.38080314969416,0.436726904538589,0.459620292297107,1,2,2,2,3
a boat,Glide/002-2.png,2,0.42666102600515,0.503103975137878,0.5281721073072351,1,2,1,3,3
a boat,Glide/002-3.png,2,0.416431992990684,0.480758751385253,0.583391665083948,2,3,2,2,3
a boat,Glide/002-4.png,2,0.459664382417824,0.557331391109492,0.625880564296691,2,3,2,3,3
a boat,Lafite/002-1.png,2,0.390272474686411,0.431158455337127,0.531423462163394,2,2,1,2,3
a boat,Lafite/002-2.png,2,0.4347429386639689,0.510536088434971,0.5069782591111011,2,2,2,2,3
a boat,Lafite/002-3.png,2,0.483678915993381,0.440204868657865,0.560545950422206,2,2,2,2,3
a boat,Lafite/002-4.png,2,0.4230233566293669,0.446791850310612,0.550732301194121,2,4,4,3,3
a boat,stable-diffusion/002-1.png,2,0.59525730974656,0.530868422619782,0.590074942560831,4,4,4,3,3
a boat,stable-diffusion/002-2.png,2,0.4272290416991209,0.417983013323803,0.5499559753758669,3,2,3,3,3
a boat,stable-diffusion/002-3.png,2,0.6028574406685501,0.622241172783495,0.64120964948091,4,4,4,3,2
a boat,stable-diffusion/002-4.png,2,0.57447311687741,0.558345629194018,0.547732519668928,2,2,3,3,3
a boat,Unidiffuser/002-1.png,2,0.638074641089041,0.5140821099013401,0.600552936082012,4,4,4,3,3
a boat,Unidiffuser/002-2.png,2,0.322456236535162,0.341211725664144,0.457315097674738,1,2,1,3,3
a boat,Unidiffuser/002-3.png,2,0.653479505424297,0.669894147427843,0.630730405013301,4,4,4,3,3
a boat,Unidiffuser/002-4.png,2,0.5853143126767101,0.5930726626474879,0.618646802294993,3,4,4,3,3
a bench,Controlnet/003-1.png,3,0.5780978847453521,0.5568434789264289,0.601518901434689,4,4,4,3,3
a bench,Controlnet/003-2.png,3,0.6351300152924,0.6453699363951,0.646949282530349,4,4,3,3,3
a bench,Controlnet/003-3.png,3,0.630093104761341,0.587354976514049,0.5676308174493809,3,3,3,3,3
a bench,Controlnet/003-4.png,3,0.575017129367044,0.592485521100945,0.651748015436623,4,4,4,3,3
a bench,DALLE/003-1.png,3,0.620748282688808,0.602139549876201,0.651146959384597,4,4,4,3,3
a bench,DALLE/003-2.png,3,0.607871429066143,0.563591545260679,0.607243321639351,4,4,4,3,3
a bench,DALLE/003-3.png,3,0.57895297102425,0.529034789471401,0.546708213383478,4,4,3,3,3
a bench,DALLE/003-4.png,3,0.710586122943497,0.6408141839582829,0.697520006405038,4,4,4,2,3
a bench,Glide/003-1.png,3,0.466275552712141,0.5758138604329079,0.621891733892986,1,2,3,2,3
a bench,Glide/003-2.png,3,0.393840082530947,0.490631428305375,0.580700928651495,2,2,2,2,3
a bench,Glide/003-3.png,3,0.412673728409993,0.451531766088348,0.52529546733773,2,3,2,2,3
a bench,Glide/003-4.png,3,0.478894828251657,0.508921796202373,0.494277133292321,3,3,3,3,3
a bench,Lafite/003-1.png,3,0.404906625855338,0.434613130003761,0.491717783649463,2,1,1,1,3
a bench,Lafite/003-2.png,3,0.403256931822858,0.370266861720226,0.409816624259664,2,4,4,2,3
a bench,Lafite/003-3.png,3,0.400980675171279,0.38026720716872,0.524480559184195,1,2,2,2,3
a bench,Lafite/003-4.png,3,0.356276788212102,0.349934746444914,0.423225933544927,1,2,2,1,3
a bench,stable-diffusion/003-1.png,3,0.647005261532245,0.614969085867321,0.6545821142642779,3,4,2,3,3
a bench,stable-diffusion/003-2.png,3,0.534694742056385,0.565799220924023,0.5681975682609159,4,4,4,3,3
a bench,stable-diffusion/003-3.png,3,0.5903208275181681,0.653254658154768,0.640809547475554,4,4,4,3,3
a bench,stable-diffusion/003-4.png,3,0.400729207164083,0.4014821451250679,0.523136575729109,1,2,1,1,3
a bench,Unidiffuser/003-1.png,3,0.4860448465875119,0.537484241018913,0.560858484996896,4,4,4,2,3
a bench,Unidiffuser/003-2.png,3,0.62608334197485,0.597686358255186,0.5701646865818379,3,3,3,3,3
a bench,Unidiffuser/003-3.png,3,0.410052407486439,0.403739290915395,0.55415712291442,2,2,3,2,3
a bench,Unidiffuser/003-4.png,3,0.529034040650929,0.5192574462266569,0.493250355781699,4,4,4,3,3
a book cover,Controlnet/006-1.png,6,0.601024120048294,0.543699856313797,0.57866129299966,4,4,4,3,3
a book cover,Controlnet/006-2.png,6,0.5415904870246611,0.512404013898234,0.514551791110353,3,3,2,2,3
a book cover,Controlnet/006-3.png,6,0.4875615890393729,0.506170896544628,0.515428809671475,2,3,2,2,3
a book cover,Controlnet/006-4.png,6,0.6407953887835179,0.5731346742350749,0.6279404044829939,3,3,3,2,3
a book cover,DALLE/006-1.png,6,0.579512564919931,0.5238080261453559,0.516666721494521,4,4,2,3,3
a book cover,DALLE/006-2.png,6,0.576882752682538,0.566672829954316,0.56252788052931,3,4,2,3,3
a book cover,DALLE/006-3.png,6,0.609128976535291,0.596435745474288,0.5949918607976801,3,3,3,3,3
a book cover,DALLE/006-4.png,6,0.53052292407358,0.545085199527358,0.437938464707604,3,3,3,2,2
a book cover,Glide/006-1.png,6,0.377996667246715,0.423845787851254,0.529115965539108,3,3,2,2,3
a book cover,Glide/006-2.png,6,0.427119877957314,0.480267782189991,0.5050501124611,1,3,1,1,2
a book cover,Glide/006-3.png,6,0.425503547907702,0.43319930214649,0.483252901110051,3,3,3,3,3
a book cover,Glide/006-4.png,6,0.430997703245299,0.457021986627701,0.525905614283345,2,1,2,3,3
a book cover,Lafite/006-1.png,6,0.456811166048169,0.535798756459457,0.55004727435265,4,4,4,3,3
a book cover,Lafite/006-2.png,6,0.428615641819638,0.443955507144106,0.461598080072553,3,3,2,2,3
a book cover,Lafite/006-3.png,6,0.507598343292069,0.5237796698164501,0.526068500530274,3,3,2,2,3
a book cover,Lafite/006-4.png,6,0.528583827507843,0.559909795637343,0.605877089770327,2,3,2,3,3
a book cover,stable-diffusion/006-1.png,6,0.5744866733219429,0.587171807769288,0.593393566777501,3,3,2,2,3
a book cover,stable-diffusion/006-2.png,6,0.603593358342559,0.520791948449705,0.5031518350231731,3,3,3,3,2
a book cover,stable-diffusion/006-3.png,6,0.406628831216518,0.447152128074458,0.4438730796557639,4,4,4,3,2
a book cover,stable-diffusion/006-4.png,6,0.637368504457132,0.603615226654009,0.6135163774230891,3,3,3,2,3
a book cover,Unidiffuser/006-1.png,6,0.455470300274351,0.436422405550782,0.5350673489500241,3,3,3,3,3
a book cover,Unidiffuser/006-2.png,6,0.554485086173671,0.537930405325662,0.496234724415214,3,3,2,3,2
a book cover,Unidiffuser/006-3.png,6,0.380635234627995,0.481689234833405,0.498431261929596,1,1,1,3,3
a book cover,Unidiffuser/006-4.png,6,0.554030467141289,0.538146612404816,0.5493633488713909,3,3,4,3,3
a kitchen,Controlnet/007-1.png,7,0.580079697901009,0.5880173243924101,0.593412675224962,4,4,4,3,3
a kitchen,Controlnet/007-2.png,7,0.6913100137126059,0.716288440158609,0.697938235769024,4,4,3,3,3
a kitchen,Controlnet/007-3.png,7,0.547111398183599,0.529286723025597,0.5271688232256789,4,4,4,3,3
a kitchen,Controlnet/007-4.png,7,0.627721479104577,0.568226304272865,0.636808683981844,4,4,4,3,3
a kitchen,DALLE/007-1.png,7,0.619844372604875,0.661542845295089,0.590751073015168,4,4,4,3,3
a kitchen,DALLE/007-2.png,7,0.571071090095821,0.559480369299069,0.616124048092411,4,4,4,3,3
a kitchen,DALLE/007-3.png,7,0.601732566951391,0.63221742509639,0.618593391400862,3,3,3,2,3
a kitchen,DALLE/007-4.png,7,0.613358312688699,0.617079221447008,0.618328391936253,4,4,4,3,3
a kitchen,Glide/007-1.png,7,0.4163012466276219,0.483243842385428,0.558268141600507,1,3,3,3,3
a kitchen,Glide/007-2.png,7,0.386187667750982,0.472275045126696,0.462008073314205,3,3,3,3,2
a kitchen,Glide/007-3.png,7,0.398557190232771,0.509975203938933,0.5648463508749461,1,2,3,3,3
a kitchen,Glide/007-4.png,7,0.4234785435933479,0.504803700681821,0.507664181848429,2,2,2,3,3
a kitchen,Lafite/007-1.png,7,0.40681608004423,0.4618448182896659,0.518434839289881,3,3,4,2,3
a kitchen,Lafite/007-2.png,7,0.45418191965137,0.520143862461266,0.531705959635585,3,3,4,2,3
a kitchen,Lafite/007-3.png,7,0.443981305568642,0.531176804809137,0.5935118940161019,2,2,2,2,3
a kitchen,Lafite/007-4.png,7,0.454661723339454,0.487128297672268,0.549037346785455,2,3,2,2,3
a kitchen,stable-diffusion/007-1.png,7,0.6011693856139729,0.544533424500065,0.576192163027176,3,3,4,2,3
a kitchen,stable-diffusion/007-2.png,7,0.6014673874652889,0.593895955061851,0.572619314827745,4,4,4,3,3
a kitchen,stable-diffusion/007-3.png,7,0.3854826526624439,0.382626289582467,0.393855725052641,1,1,2,1,3
a kitchen,stable-diffusion/007-4.png,7,0.572992463382088,0.594454761383489,0.6541316286810709,4,4,4,3,3
a kitchen,Unidiffuser/007-1.png,7,0.650444916631673,0.6584143918268811,0.640721567607384,4,4,4,3,3
a kitchen,Unidiffuser/007-2.png,7,0.268543531546935,0.340793296982725,0.377285254358806,1,2,2,2,2
a kitchen,Unidiffuser/007-3.png,7,0.547100995647265,0.5460763005964889,0.602586008794476,2,3,3,2,3
a kitchen,Unidiffuser/007-4.png,7,0.5554201595706441,0.583448807247003,0.619934415864198,3,3,3,3,3
a fall landscape,Controlnet/008-1.png,8,0.552782632566083,0.492153504846858,0.536798012839209,2,2,3,2,3
a fall landscape,Controlnet/008-2.png,8,0.443809152511826,0.3862279106276349,0.541174338731469,3,3,3,2,3
a fall landscape,Controlnet/008-3.png,8,0.565183772854556,0.5505797765601941,0.544978753652604,3,4,3,3,3
a fall landscape,Controlnet/008-4.png,8,0.533441611479049,0.541159259839089,0.6228290633583601,4,3,4,3,3
a fall landscape,DALLE/008-1.png,8,0.579350842851183,0.595851801275443,0.6461753688026041,3,3,3,3,3
a fall landscape,DALLE/008-2.png,8,0.5518635059709289,0.5594048532097919,0.587680367262688,4,4,3,3,3
a fall landscape,DALLE/008-3.png,8,0.667873003189392,0.6636557207036929,0.6800749481386861,3,4,4,3,3
a fall landscape,DALLE/008-4.png,8,0.64086558620136,0.642249729919723,0.6606173166801029,4,4,4,3,3
a fall landscape,Glide/008-1.png,8,0.405037945544749,0.506320153206263,0.626235075403317,2,2,2,2,3
a fall landscape,Glide/008-2.png,8,0.395516377248956,0.499599204592543,0.522435498068257,2,2,2,2,3
a fall landscape,Glide/008-3.png,8,0.455075909741509,0.505629541732718,0.637719866739466,2,2,3,3,3
a fall landscape,Glide/008-4.png,8,0.375489964720753,0.5053619846064791,0.555740577948145,2,2,3,3,3
a fall landscape,Lafite/008-1.png,8,0.478043267474437,0.61921300161957,0.606399195070629,2,3,3,3,3
a fall landscape,Lafite/008-2.png,8,0.534381670510963,0.500331715808318,0.527358777665035,3,3,2,3,3
a fall landscape,Lafite/008-3.png,8,0.45456056150982,0.565850711871301,0.583838419549654,2,2,2,3,3
a fall landscape,Lafite/008-4.png,8,0.4829781159950059,0.552126666323108,0.597204318881619,3,4,4,3,3
a fall landscape,stable-diffusion/008-1.png,8,0.614447924447355,0.601853454757296,0.6289065842545419,4,4,4,3,3
a fall landscape,stable-diffusion/008-2.png,8,0.389766330121424,0.45992883551789,0.477144454881009,1,2,2,2,3
a fall landscape,stable-diffusion/008-3.png,8,0.523242522319306,0.5185905538671229,0.551168362518822,3,3,3,3,3
a fall landscape,stable-diffusion/008-4.png,8,0.55837352112779,0.575189319935888,0.575950900366465,2,2,2,3,3
a fall landscape,Unidiffuser/008-1.png,8,0.5804774427602,0.584257328015655,0.596653838940127,4,4,4,3,3
a fall landscape,Unidiffuser/008-2.png,8,0.663774970844767,0.645737157199694,0.620969391497221,4,4,4,3,3
a fall landscape,Unidiffuser/008-3.png,8,0.3171671360182579,0.32346753516471,0.376611292747057,1,1,1,1,1
a fall landscape,Unidiffuser/008-4.png,8,0.599737182547306,0.5677762914922,0.655339053812008,4,4,4,3,3
a photo of san francisco's golden gate bridge,Controlnet/009-1.png,9,0.599461545760215,0.55141657708255,0.598405143547275,4,3,4,3,3
a photo of san francisco's golden gate bridge,Controlnet/009-2.png,9,0.577324607021072,0.5729579701336189,0.603609277756436,3,3,2,3,3
a photo of san francisco's golden gate bridge,Controlnet/009-3.png,9,0.501005702788998,0.465104701308858,0.4870571541004,3,3,2,2,3
a photo of san francisco's golden gate bridge,Controlnet/009-4.png,9,0.581315664108901,0.536714620643358,0.6042580121893529,4,4,4,3,3
a photo of san francisco's golden gate bridge,DALLE/009-1.png,9,0.560454900890933,0.564380690005537,0.5545465083919779,4,4,4,3,3
a photo of san francisco's golden gate bridge,DALLE/009-2.png,9,0.616175875231453,0.642445034280171,0.686481626403058,3,3,3,2,3
a photo of san francisco's golden gate bridge,DALLE/009-3.png,9,0.673357913190175,0.658355955263349,0.641548310109625,4,4,4,3,3
a photo of san francisco's golden gate bridge,DALLE/009-4.png,9,0.7090656001328141,0.634855844407511,0.6348433914497901,4,4,4,3,3
a photo of san francisco's golden gate bridge,Glide/009-1.png,9,0.371347662018332,0.41793573929673,0.449387221164915,1,3,3,1,3
a photo of san francisco's golden gate bridge,Glide/009-2.png,9,0.410627270653531,0.5158935729942971,0.543657235736078,2,2,2,3,3
a photo of san francisco's golden gate bridge,Glide/009-3.png,9,0.433339860181872,0.501609788465794,0.547526116215441,2,3,2,3,3
a photo of san francisco's golden gate bridge,Glide/009-4.png,9,0.388514428759032,0.553213447607558,0.523146459842186,2,2,2,3,3
a photo of san francisco's golden gate bridge,Lafite/009-1.png,9,0.326653169572998,0.402309653921295,0.4364255376694509,3,3,3,2,3
a photo of san francisco's golden gate bridge,Lafite/009-2.png,9,0.4421798588077,0.503015800935102,0.5172781437160809,1,3,2,2,3
a photo of san francisco's golden gate bridge,Lafite/009-3.png,9,0.371410323527912,0.440293481581066,0.454499568086587,2,2,3,1,3
a photo of san francisco's golden gate bridge,Lafite/009-4.png,9,0.428799962430596,0.451920210241479,0.479868247289046,3,4,3,2,3
a photo of san francisco's golden gate bridge,stable-diffusion/009-1.png,9,0.38163832974435,0.402025740931207,0.4713391593254439,2,2,2,1,2
a photo of san francisco's golden gate bridge,stable-diffusion/009-2.png,9,0.635747810584519,0.640991447809856,0.613820950999363,3,4,4,3,3
a photo of san francisco's golden gate bridge,stable-diffusion/009-3.png,9,0.632003771500316,0.5949598917939111,0.6406024640823711,3,3,3,3,3
a photo of san francisco's golden gate bridge,stable-diffusion/009-4.png,9,0.654122559608341,0.592314825667146,0.587727035053778,4,4,4,3,3
a photo of san francisco's golden gate bridge,Unidiffuser/009-1.png,9,0.543900442977774,0.538720554217835,0.572004177579721,2,3,3,3,3
a photo of san francisco's golden gate bridge,Unidiffuser/009-2.png,9,0.538906879728031,0.630089643074183,0.6583600489927529,4,4,4,3,3
a photo of san francisco's golden gate bridge,Unidiffuser/009-3.png,9,0.4227110682544059,0.476029986494341,0.530911346953154,2,2,2,2,3
a photo of san francisco's golden gate bridge,Unidiffuser/009-4.png,9,0.532339072510252,0.537970245799767,0.541689299954226,3,3,2,2,3
A giraffe walking through a green grass covered field,Controlnet/010-1.png,10,0.566176123938069,0.461301097446177,0.539783206207276,4,4,4,2,3
A giraffe walking through a green grass covered field,Controlnet/010-2.png,10,0.608215440883366,0.5993971011439,0.571775954113865,3,4,4,3,3
A giraffe walking through a green grass covered field,Controlnet/010-3.png,10,0.464995746064107,0.452831968067441,0.50332247449327,4,4,4,3,3
A giraffe walking through a green grass covered field,Controlnet/010-4.png,10,0.463544713161393,0.405899501065823,0.392629267923354,1,1,1,1,2
A giraffe walking through a green grass covered field,DALLE/010-1.png,10,0.640241867437846,0.579223247299053,0.668689417366569,3,4,4,2,3
A giraffe walking through a green grass covered field,DALLE/010-2.png,10,0.5316684902197479,0.537410629314239,0.53099224010283,4,4,4,2,3
A giraffe walking through a green grass covered field,DALLE/010-3.png,10,0.664909018134502,0.65836975670027,0.648660650066153,4,4,4,3,2
A giraffe walking through a green grass covered field,DALLE/010-4.png,10,0.593435948525297,0.532777961480965,0.605986713220256,2,3,3,3,3
A giraffe walking through a green grass covered field,Glide/010-1.png,10,0.427167728160194,0.474910598277415,0.465286142160656,1,2,2,2,2
A giraffe walking through a green grass covered field,Glide/010-2.png,10,0.4519942776958129,0.495244392669199,0.496625807680505,2,3,3,2,3
A giraffe walking through a green grass covered field,Glide/010-3.png,10,0.44680775590171,0.574048812240108,0.537939310342014,2,2,2,2,3
A giraffe walking through a green grass covered field,Glide/010-4.png,10,0.419634959481645,0.488157278564985,0.46964066922388,3,4,3,3,3
A giraffe walking through a green grass covered field,Lafite/010-1.png,10,0.3843175926568309,0.397093310129252,0.380350997139711,3,2,2,2,3
A giraffe walking through a green grass covered field,Lafite/010-2.png,10,0.370638309343177,0.356886311827004,0.446013967740232,2,2,2,2,2
A giraffe walking through a green grass covered field,Lafite/010-3.png,10,0.392109475276607,0.35434414228322,0.422392125670362,2,2,2,2,3
A giraffe walking through a green grass covered field,Lafite/010-4.png,10,0.35361108147051,0.411489506484896,0.430389732174249,2,2,2,2,3
A giraffe walking through a green grass covered field,stable-diffusion/010-1.png,10,0.606537245983207,0.5222136356002011,0.580278131875598,4,4,4,2,3
A giraffe walking through a green grass covered field,stable-diffusion/010-2.png,10,0.5824779701977161,0.583988306807376,0.582508079504392,3,3,4,2,3
A giraffe walking through a green grass covered field,stable-diffusion/010-3.png,10,0.578614933216363,0.549870823209556,0.5790399598299331,3,3,3,3,3
A giraffe walking through a green grass covered field,stable-diffusion/010-4.png,10,0.359676911809889,0.371506176804614,0.38029674778319,2,2,2,2,2
A giraffe walking through a green grass covered field,Unidiffuser/010-1.png,10,0.5373879082494549,0.561643406959476,0.608360352800914,3,3,2,2,3
A giraffe walking through a green grass covered field,Unidiffuser/010-2.png,10,0.600160344652134,0.555999283510391,0.61295799457261,4,4,3,2,3
A giraffe walking through a green grass covered field,Unidiffuser/010-3.png,10,0.405823354978923,0.494515438297972,0.522131494079586,1,2,2,1,3
A giraffe walking through a green grass covered field,Unidiffuser/010-4.png,10,0.58480427273141,0.512394272454752,0.5644097246921941,4,4,4,2,3
A red bus is driving on the road,Controlnet/012-1.png,12,0.566793517414523,0.529758109890697,0.590573449100103,3,3,3,2,3
A red bus is driving on the road,Controlnet/012-2.png,12,0.6101813552618099,0.514189950664033,0.625591892525835,3,3,3,2,3
A red bus is driving on the road,Controlnet/012-3.png,12,0.524647058902712,0.488509885232876,0.4412074527435969,2,2,2,3,1
A red bus is driving on the road,Controlnet/012-4.png,12,0.5982778001906081,0.512351984622292,0.626033465210836,4,4,3,2,3
A red bus is driving on the road,DALLE/012-1.png,12,0.535154648149347,0.52373840609046,0.627478419749022,4,3,2,3,3
A red bus is driving on the road,DALLE/012-2.png,12,0.574091853415964,0.614593464295741,0.625181314006986,4,4,4,2,3
A red bus is driving on the road,DALLE/012-3.png,12,0.590072317194115,0.563844898238302,0.565608376430477,3,3,3,3,3
A red bus is driving on the road,DALLE/012-4.png,12,0.540548432220372,0.5351480320195889,0.579890191612247,3,3,2,3,3
A red bus is driving on the road,Glide/012-1.png,12,0.414183658548989,0.520651636729329,0.58364497877801,3,3,3,2,3
A red bus is driving on the road,Glide/012-2.png,12,0.44544648727685,0.535941138640801,0.542477648752532,2,3,2,3,3
A red bus is driving on the road,Glide/012-3.png,12,0.460502359268083,0.6144264560745011,0.6107669801164289,2,3,3,3,3
A red bus is driving on the road,Glide/012-4.png,12,0.45940254428925,0.5189579192978591,0.587386098104743,2,3,3,3,3
A red bus is driving on the road,Lafite/012-1.png,12,0.482657717083323,0.470786394201726,0.562760847127202,2,2,1,1,2
A red bus is driving on the road,Lafite/012-2.png,12,0.412259754777725,0.435029584657174,0.489940468071685,2,2,3,2,2
A red bus is driving on the road,Lafite/012-3.png,12,0.377014576257084,0.386256092473107,0.3916261693202459,2,2,2,1,3
A red bus is driving on the road,Lafite/012-4.png,12,0.389313404374958,0.389660911526102,0.410851959586984,1,1,2,1,3
A red bus is driving on the road,stable-diffusion/012-1.png,12,0.61739679600713,0.602659324006189,0.569638944608968,4,4,4,3,3
A red bus is driving on the road,stable-diffusion/012-2.png,12,0.613039033093565,0.603805982837982,0.591348363287732,4,4,4,3,3
A red bus is driving on the road,stable-diffusion/012-3.png,12,0.35032342306242,0.3658008083905549,0.4308438908414029,1,1,1,1,2
A red bus is driving on the road,stable-diffusion/012-4.png,12,0.705224795627758,0.626873647637128,0.67262086075042,4,4,4,3,3
A red bus is driving on the road,Unidiffuser/012-1.png,12,0.590472578372515,0.5724443352770799,0.571845520919387,2,3,3,3,3
A red bus is driving on the road,Unidiffuser/012-2.png,12,0.388481264678532,0.456254361202716,0.531295701120559,1,2,2,2,2
A red bus is driving on the road,Unidiffuser/012-3.png,12,0.48740528775043,0.520062536576098,0.635229297626902,3,3,3,2,3
A red bus is driving on the road,Unidiffuser/012-4.png,12,0.511817359891688,0.4752766554750859,0.508583485357388,4,4,4,2,3
a teddy bear on a skateboard,Controlnet/013-1.png,13,0.6812995415544699,0.608409024477514,0.629860901312577,4,4,4,3,3
a teddy bear on a skateboard,Controlnet/013-2.png,13,0.573453421021242,0.535380884014146,0.552970141452822,3,4,4,2,3
a teddy bear on a skateboard,Controlnet/013-3.png,13,0.472002405612955,0.5026506521381721,0.4841483984225129,3,3,2,2,2
a teddy bear on a skateboard,Controlnet/013-4.png,13,0.636126768866646,0.595394714174571,0.553947245647021,4,4,4,2,3
a teddy bear on a skateboard,DALLE/013-1.png,13,0.530025357270667,0.530444767807317,0.56803114568042,3,3,3,3,2
a teddy bear on a skateboard,DALLE/013-2.png,13,0.583934124525347,0.629468356414224,0.5962748410729639,4,4,4,3,3
