prompt,image_name,index,quality_score,std_quality,mos_align,std_align,generated_answer
a tray of sushi,glide_normal_001.jpg,1,1.177351713,1.051160634,2.397337086,1.610692851,A blurry close-up of sushi pieces inside an orange container. The food subjects are malformed and lack any discernible internal structure. Severe global blur and flat textures eliminate all detail.
a tray of sushi,midjourney_lowstep_001.jpg,1,2.610261314,0.762893836,3.481534167,0.674440876,A blurred close-up shows various sushi pieces arranged in a black tray. The food items are recognizable but exhibit significant blurring and softened boundaries. Heavy global oversmoothing eliminates texture details and sharp edge definitions.
a tray of sushi,midjourney_normal_001.jpg,1,3.537280489,0.696301426,3.83707886,0.738674494,A close-up shot displays various sushi types in a dark tray. The sushi maintains a plausible arrangement though some rice textures appear fused. Mild oversmoothing and soft focus obscure fine textures.
a tray of sushi,sd1.5_highcorr_001.jpg,1,0.563498947,0.786175875,2.061283155,1.760674264,A heavily blurred close-up of colorful objects on a flat surface. Subject structure is completely obscured by heavy blurring. Extreme oversmoothing results in total loss of texture and detail.
a tray of sushi,sd1.5_lowcorr_001.jpg,1,3.407636041,0.599272665,3.772760957,0.536885198,A top-down view shows a white platter of assorted sushi and sashimi. Sushi pieces are clearly arranged with consistent shapes and recognizable ingredients. Some fish textures appear slightly waxy with softened edge definitions.
a tray of sushi,sd1.5_lowstep_001.jpg,1,3.703369342,0.307984991,4.192994699,0.373920151,"A close-up view shows a platter of assorted sushi on a blue background. The sushi is recognizable but exhibits waxy textures and unnatural surface markings. Details appear oversmoothed with flat, plastic-like textures."
a tray of sushi,sd1.5_normal_001.jpg,1,3.516316957,0.885299333,3.860433867,0.594770906,An overhead shot displays various sushi rolls and sashimi on a dark tray. Many ingredients exhibit unnatural geometry and lack realistic organic textural complexity. Surfaces appear waxy with softened edges and pseudo-detail graininess.
a tray of sushi,xl2.2_normal_001.jpg,1,3.823445557,1.092074401,3.812256598,0.551123902,A top-down view shows assorted nigiri and maki sushi on a dark tray. Salmon slices show distorted shapes and maki roll fillings lack coherence. Surfaces appear waxy with repetitive pseudo-details in the fish grain.
man lost in space,AttnGAN_normal_002.jpg,2,0.195283431,0.949402643,0.506802093,0.723514494,A dark close-up captures a textured surface with small attached elements. The right-side feature is structurally malformed and visually ambiguous. Textures display repetitive patterns and noticeable edge softening.
man lost in space,DALLE2_normal_002.jpg,2,2.855791343,0.640929112,2.908503737,0.836745771,A costumed man reclines against a blue cosmic grid background. The subject's mouth and jawline show visible warping and anatomical fusion. Global textures appear waxy with oversmoothed details and inconsistent highlights.
man lost in space,glide_normal_002.jpg,2,0.508202054,0.913728813,0.902085383,0.586784713,Sparse white specks are scattered randomly across a dark black void. The image lacks any coherent subject structure or semantic readability. Extreme underexposure hides almost all texture and edge definition.
man lost in space,midjourney_lowstep_002.jpg,2,2.576017007,0.636710141,3.259317616,0.610354445,"A rear-view figure in a spacesuit stands before a cosmic portal. The subject's anatomy is stable but features simplified, unstructured hand regions. Heavy image smoothing produces flat textures and indistinct boundaries throughout."
man lost in space,midjourney_normal_002.jpg,2,3.912443678,0.2383012,3.609476773,0.425648521,A cinematic close-up portrays an astronaut in a helmet within a dimly lit cockpit. The subject exhibits stable facial anatomy and a structurally coherent space suit assembly. Textures and edges show no dominant local artifact.
man lost in space,sd1.5_highcorr_002.jpg,2,3.688435461,0.345028023,3.311510172,0.505871675,"A digital sci-fi poster shows a man in a spacesuit before planets. The subject's face is clear, while the header text remains semantically garbled. Metallic textures show slight waxiness and softened surface detail."
man lost in space,sd1.5_lowcorr_002.jpg,2,2.659178911,0.756436473,2.956517697,0.896497904,Two fused astronauts float before a large moon and Earth in space. The subjects show severe structural distortion with multiple fused heads and limbs. Suit textures appear waxy while background details stay softly defined.
man lost in space,sd1.5_lowstep_002.jpg,2,2.941741401,0.587283324,3.584646223,0.413518818,"A digital illustration shows a man's head in a space helmet against a cosmic background. The face is clear, but the helmet structure lacks a plausible neck or body attachment. Planetary surfaces blur and skin textures appear over-smoothed."
man lost in space,sd1.5_normal_002.jpg,2,2.7089479,0.842461074,3.191417702,0.482472292,A centered portrait of an astronaut in a white suit against a purple nebula. The subject's face is severely distorted and lacks semantic coherence in the visor. Local textures appear melted while global edges remain stable.
man lost in space,xl2.2_normal_002.jpg,2,3.748750887,0.677341982,3.410425033,0.517093402,A photorealistic close-up of an astronaut in a spacesuit against a space background. The subject's facial anatomy is stable though helmet junctions show minor fusion. Textures exhibit mild oversmoothing and edges lack fine definition.
a cosmic universe,AttnGAN_normal_003.jpg,3,1.075006252,0.256997016,0.207691414,0.461925764,A blurry indoor scene shows a monitor and several reflective surfaces. Extreme blurring renders the subject's structure and semantic content completely illegible. Heavy oversmoothing eliminates texture and sharpness across the entire frame.
a cosmic universe,DALLE2_normal_003.jpg,3,3.274576995,0.51408255,3.641108818,0.286965548,A digital space scene features multiple planets above a dark rocky terrain. The planetary bodies are recognizable but show inconsistent surface textures and lighting. Global softness and waxy textures reduce the overall detail clarity.
a cosmic universe,glide_normal_003.jpg,3,0.72412361,0.679821912,1.662380313,1.349794897,"A dark circular object features a glowing blue rim in a tight frame. The subject's core is structurally undefined and semantically illegible. Heavy grain, blur, and color banding affect clarity."
a cosmic universe,midjourney_lowstep_003.jpg,3,1.112671152,0.583817321,2.976904363,0.760166479,A centered planetary nebula glows against a dark cosmic background. The subject maintains a coherent ring structure with a clear central core. Significant blur and softened edges reduce overall detail clarity.
a cosmic universe,midjourney_normal_003.jpg,3,2.788955814,0.905640435,3.543429565,0.84557205,A centered digital artwork displays a vibrant cosmic nebula in a starry void. The subject's swirling structure is coherent and semantically readable without obvious distortions. Sharp edges and detailed textures show no dominant local perceptual artifact.
a cosmic universe,sd1.5_highcorr_003.jpg,3,2.760431848,0.416397822,3.336157521,0.434636544,A vibrant digital artwork depicts a glowing galaxy inside a cosmic nebula ring. The central galactic structure is coherent and clearly defined against the dark void. Textures and edges show no dominant local artifact.
a cosmic universe,sd1.5_lowcorr_003.jpg,3,3.906607461,0.646229035,3.720100101,0.682847415,A vibrant digital illustration shows a glowing cosmic ring within a dense nebula. The central ring structure is geometrically stable and semantically clear. Faint linear streaks and subtle smoothing affect the background textures.
a cosmic universe,sd1.5_lowstep_003.jpg,3,2.004546739,0.865384403,3.287387628,0.518378878,A colorful digital illustration of a complex galaxy system in space. The galactic morphology is visually confusing with tangled and poorly defined structures. Textures appear slightly waxy with soft edges and inconsistent detail density.
a cosmic universe,sd1.5_normal_003.jpg,3,2.92075847,0.730680424,3.398573511,0.507844946,A vibrant digital nebula with a glowing core fills a star-filled frame. The swirling subject structure is spatially coherent and semantically readable. Fine details show mild oversmoothing and a waxy texture in gaseous areas.
a cosmic universe,xl2.2_normal_003.jpg,3,3.184220697,1.124471208,3.425191569,0.724002858,A vibrant digital nebula glows against a star-filled deep space background. The cosmic cloud formation maintains a coherent and visually fluid internal structure. Textures and edges show no dominant local artifact.
red and blue armor,AttnGAN_normal_004.jpg,4,1.391763291,1.019677291,0.564244714,0.719811275,A blurry digital rendering depicts a cluttered room with distorted objects. The central glowing shape and foreground items are severely malformed and geometrically incoherent. Heavy oversmoothing and soft focus obscure fine details and textures.
red and blue armor,DALLE2_normal_004.jpg,4,2.790423236,0.607927908,3.569908726,0.385583823,Two digital illustrations of red and blue fantasy armor on a white background. The armor shows implausible geometry and fused details at the waist and helm. Surfaces appear waxy with softened edges and pseudo-details.
red and blue armor,glide_normal_004.jpg,4,0.592610402,0.369415555,1.153704822,0.702109438,A blurry dark object with red and blue glowing parts is shown against black. The object's structure is unrecognizable and lacks coherent geometric boundaries. Severe global blur obscures all edges and textures.
red and blue armor,midjourney_lowstep_004.jpg,4,2.293494507,0.840996189,3.353107804,0.78669304,Two blurred suits of medieval armor stand in a dark room. The subjects show malformed necks and lack clear structural separation. Heavy global blur and oversmoothing eliminate all fine details.
red and blue armor,midjourney_normal_004.jpg,4,3.763104867,0.185784972,3.634307323,0.746058009,Two figures in red and blue futuristic armor stand against a dark background. The mechanical suit structures are generally stable though some paneling appears slightly fused. Surfaces maintain sharp metallic details without significant blurring or noise.
red and blue armor,sd1.5_highcorr_004.jpg,4,3.541752783,0.538798154,3.0193248,1.003932657,Two figures in red and blue armor stand against a neutral background. The subjects show malformed hands and structurally inconsistent knee and elbow joints. Armor surfaces exhibit waxy smoothing and noisy pseudo-detailing patterns.
red and blue armor,sd1.5_lowcorr_004.jpg,4,2.309898917,0.774029082,3.153995905,1.034756823,A front view of a person in a blue and red armored suit. The armor structure is stable despite fused joints and repetitive mechanical segments. Metallic textures appear waxy with softened edges and inconsistent reflections.
red and blue armor,sd1.5_lowstep_004.jpg,4,2.775605575,0.567843754,3.351474113,0.479547743,Two people stand in blue and red futuristic armored suits outdoors. The subjects suffer from severe anatomical distortion and broken armor geometry. Textures look waxy and edges lack sharpness across the frame.
red and blue armor,sd1.5_normal_004.jpg,4,2.73141732,0.649435598,3.632145713,0.61278039,"A split view displays a red and blue armored suit and components. The armor's structure is stable, but surface details show semantic confusion. Surfaces appear waxy with repetitive patterns and soft edges."
red and blue armor,xl2.2_normal_004.jpg,4,2.85831935,0.923787049,3.358399036,1.172877285,A render shows a figure in glossy red and blue armor on a plain background. The subject is structurally coherent with stylized but readable armor geometry. Surfaces exhibit a waxy oversmoothed texture and softened details.
house of the dragon,AttnGAN_normal_005.jpg,5,1.106599613,0.448890123,0.70896187,0.593561806,A stack of three rounded stones rests on a patchy ground with foliage. The subject is recognizable but shows significant blurring and softened geometric boundaries. Global oversmoothing and weak edge definition reduce texture clarity everywhere.
house of the dragon,DALLE2_normal_005.jpg,5,3.430745058,0.865400549,3.202040316,0.337856509,"A dragon sculpture rests on a traditional roof against a clear blue sky. The subject is structurally stable, though some ornamental details appear slightly fused. Global textures exhibit mild oversmoothing and some waxy surface qualities."
house of the dragon,glide_normal_005.jpg,5,1.539115041,0.272476936,1.698194229,0.93653824,A close-up shows a stylized mythical creature within an ornate golden frame. The subject's anatomy is severely warped with fused limbs and poor readability. Heavy blur softens edges and obscures fine textural details throughout.
house of the dragon,midjourney_lowstep_005.jpg,5,2.731010208,0.632427665,2.971918712,0.674021424,"A stylized 3D dragon emblem glows against a solid black background. The dragon's anatomy exhibits fused limbs and warped, indistinct wing structures. Surfaces show waxy textures and softened fine details."
house of the dragon,midjourney_normal_005.jpg,5,3.773032655,0.550466888,3.433697306,0.670514487,A stylized red dragon rests upon a complex circular metallic seal. The creature's anatomy is plausible but exhibits a distorted tail and fused wing joints. Ornate background elements contain melted textures and illegible repetitive symbols.
house of the dragon,sd1.5_highcorr_005.jpg,5,3.43455948,0.550046299,2.653500595,0.766464444,A multi-tiered pavilion is integrated into a steep rocky cliff face. The architecture is coherent despite some physically implausible support points. Rock textures exhibit noticeable smoothing and lack of micro-detail.
house of the dragon,sd1.5_lowcorr_005.jpg,5,2.64254653,0.811467431,2.982848125,0.57081922,"A dense surreal illustration shows ornate patterns, a central figure, and a framed landscape. The subject displays structural confusion with malformed anatomy and cluttered geometric forms. Flat textures and repetitive pseudo-details reduce overall clarity."
house of the dragon,sd1.5_lowstep_005.jpg,5,3.421003889,0.841415181,2.960067189,0.84593764,A vibrant Art Nouveau illustration depicts a large coiled dragon in a close-up. The dragon's complex anatomy is structurally stable and semantically readable across all regions. Highly repetitive scale patterns and flat fills characterize the texture.
house of the dragon,sd1.5_normal_005.jpg,5,2.61389334,0.397467103,2.445567744,0.990118601,A fantasy card shows a green coiled dragon on a blue background. The dragon has malformed limbs with fused digits and illegible card text. Repetitive textures and softened contours dominate the surface quality.
house of the dragon,xl2.2_normal_005.jpg,5,3.324474137,0.609880881,2.745874276,1.240522135,A woman in a red gown stands before seated men in a courtyard. Seated men display malformed faces and fused hands affecting subject legibility. Textures appear waxy and edges lack sharp definition.
a river in a forest,AttnGAN_normal_006.jpg,6,1.062470367,0.665815742,0.626274844,0.998303735,"A close-up image depicts abstract, blocky white forms on a purple surface. The subject structure is severely warped and lacks any recognizable semantic coherence. Heavy global blur and oversmoothing completely flatten all surface details."
a river in a forest,DALLE2_normal_006.jpg,6,3.330022312,0.851156854,3.944689199,0.593399912,A sunlit forest stream flows over dark rocks through dense green foliage. The central rocks appear somewhat fused and lack sharp geological definition. Global textures display noticeable oversmoothing and a waxy painterly finish.
a river in a forest,glide_normal_006.jpg,6,1.343816114,0.329223598,3.112865772,0.915899406,"A blurry digital painting shows a rocky forest stream under dense green canopy. The subject lacks structural coherence, with rocks appearing as soft, fused masses. Global oversmoothing eliminates all fine textural detail."
a river in a forest,midjourney_lowstep_006.jpg,6,1.445015122,0.644375539,1.837474519,1.33223782,A soft-focus image shows a sunlit path winding through a dense forest. The path and foliage appear structurally stable despite the pervasive visual haze. Heavy global blur flattens all textures and obscures fine edge definitions.
a river in a forest,midjourney_normal_006.jpg,6,3.756916035,0.744029567,3.930743523,0.750581128,"A photorealistic image captures a serene forest stream surrounded by dense woodland. The composition is stable, but foreground bank features lack sharp definition. Overall textures display noticeable smoothing and a lack of fine detail."
a river in a forest,sd1.5_highcorr_006.jpg,6,3.896040489,0.518657969,3.831912184,0.706517961,A digital painting depicts a winding stream through a lush green forest. The scene is structurally stable but background tree trunks lack distinct separation. Foliage textures exhibit minor repetition and distant areas appear overly smoothed.
a river in a forest,sd1.5_lowcorr_006.jpg,6,3.502054974,0.51933781,3.994551072,0.582417049,A photorealistic river winds through a dense green forest under soft light. The landscape structure is stable though some foreground rocks appear malformed. Global textures exhibit mild oversmoothing and softened edge definition.
a river in a forest,sd1.5_lowstep_006.jpg,6,3.460260441,1.10483099,3.603910098,1.170851153,"A photorealistic landscape depicts a stream winding through a dense green forest. The subject lacks distinct botanical details, with vegetation forming repetitive, smoothed masses. Global textures appear waxy and oversmoothed with softened edge clarity."
a river in a forest,sd1.5_normal_006.jpg,6,3.263456549,0.567213654,3.615310202,0.530166825,"A photorealistic eye-level view of a river flowing through a dense green forest. The scene is coherent, but submerged objects appear as malformed white blobs. Foliage textures are overly smooth and edges lack sharp definition."
a river in a forest,xl2.2_normal_006.jpg,6,3.572719808,0.386334369,3.831912184,0.396420043,A photorealistic image depicts a clear stream flowing through a lush green forest. The central stream and surrounding rocks maintain a stable and plausible structure. Textures display a consistent waxy smoothness throughout the frame.
a cat doing karaoke,AttnGAN_normal_007.jpg,7,0.80654015,0.393910643,0.397771485,0.412883462,"A blurry brown animal shape fills a close-up frame on a plain background. The subject lacks coherent structure, appearing as a featureless, fused shape. Severe oversmoothing flattens textures and obscures all edge definitions."
a cat doing karaoke,DALLE2_normal_007.jpg,7,1.910721781,0.574075394,3.167161119,1.011091307,A cartoon cat sings into a microphone on a solid red background. The stylized subject maintains a coherent structure and clear semantic identity. Flat colors and simple outlines dominate the visual field.
a cat doing karaoke,glide_normal_007.jpg,7,0.821435934,0.631626061,1.388019295,0.793575782,"A blurry close-up shows a black cat on a light indoor surface. The subject lacks anatomy, appearing as a fused mass with malformed features. Global blur and oversmoothing destroy texture and edge definition."
a cat doing karaoke,midjourney_lowstep_007.jpg,7,2.821971923,0.621457002,3.679897602,0.461713348,A photorealistic grey cat sits behind a microphone on a wooden table. The cat's face and paws appear slightly malformed with poor local definition. Fur textures show mild oversmoothing and edges lack crispness.
a cat doing karaoke,midjourney_normal_007.jpg,7,3.658567698,0.360187657,3.410832372,1.035166179,A photorealistic close-up depicts a tabby cat yawning indoors. The subject maintains structural coherence despite minor facial and paw distortion. Fur textures appear natural with consistent lighting throughout the scene.
a cat doing karaoke,sd1.5_highcorr_007.jpg,7,3.12288234,0.48840896,2.258697793,0.5263155,A photorealistic close-up features a grey tabby cat on an office chair. The cat's face and limbs show significant structural warping and unnatural patterns. Fur textures exhibit waxy smoothing and inconsistent local detail.
a cat doing karaoke,sd1.5_lowcorr_007.jpg,7,2.354106472,0.475679937,1.972767588,0.643913468,A calico cat sits centrally before a multi-colored wall. The feline subject is recognizable despite having duplicated and fused structures near its paws. Fine details are obscured by pervasive blurring and soft textural rendering.
a cat doing karaoke,sd1.5_lowstep_007.jpg,7,3.214375205,0.430991709,2.163775142,0.257010202,"A photorealistic grey and white tabby cat lies on a wooden floor. The subject is structurally coherent, though the front paw appears malformed. Fur textures show mild oversmoothing and lack crisp micro-detail definition."
a cat doing karaoke,sd1.5_normal_007.jpg,7,3.419625599,0.438529777,3.001128296,0.551710795,A photorealistic close-up of a ginger tabby cat with green eyes. Facial features show subtle unnatural symmetry and a slightly malformed muzzle. Background elements are melted pseudo-textures and fur appears oversmoothed.
a cat doing karaoke,xl2.2_normal_007.jpg,7,3.490797944,0.938736911,3.575282749,0.710863625,A digital illustration of an orange cat wearing glasses and a bow tie. The subject is stable but shows unnatural eye symmetry and mouth geometry. Fur textures appear slightly smoothed with flat background detail.
joe biden very happy,AttnGAN_normal_008.jpg,8,1.230273953,0.574807841,0.577911226,0.711439334,A blurred digital painting depicts a warped interior with indistinct objects. Subject geometry is severely distorted and semantically unreadable due to fusion. Global sharpness is extremely low with pervasive smearing and flat textures.
joe biden very happy,glide_normal_008.jpg,8,1.599484777,0.377380508,1.519124647,1.464568543,A close-up portrait of a black dog in a snowy forest. The subject's facial anatomy is distorted with malformed ears and obscured features. Severe blurring and extreme contrast loss degrade texture and edge clarity.
joe biden very happy,midjourney_lowstep_008.jpg,8,2.74826005,0.280607807,3.588197866,0.29803017,A photorealistic portrait shows a smiling man in a suit at a table. The subject's face is severely distorted with an unnaturally wide mouth. Waxy skin textures and heavy background oversmoothing affect visual quality.
joe biden very happy,midjourney_normal_008.jpg,8,2.736106345,0.64307607,3.391795303,0.805137727,A high-contrast studio portrait shows a man laughing against a dark background. The subject's face is stable but displays unnatural eye closure and skin pitting. Waxy textures and artificial micro-details affect global quality.
joe biden very happy,sd1.5_highcorr_008.jpg,8,3.330022312,0.575477002,4.106087774,0.37188477,A close-up portrait features a suited man in front of an American flag. The subject's face shows severe distortion with misaligned eyes and a malformed mouth. Surfaces exhibit waxy oversmoothing and inconsistent fine textural details.
joe biden very happy,sd1.5_lowcorr_008.jpg,8,3.238537588,0.450337076,3.491984103,0.807906209,A photorealistic side view of a man in a blue suit outdoors. The figure exhibits distorted facial features and a malformed hand in pocket. Global oversmoothing and softened edges affect the scene.
joe biden very happy,sd1.5_lowstep_008.jpg,8,2.598262134,0.296827369,3.832951723,0.606471401,A close-up portrait of a suited man against a neutral background. Facial structure is severely distorted with unnatural alignment and a malformed mouth. Textures appear waxy with inconsistent lighting and softened edges.
joe biden very happy,sd1.5_normal_008.jpg,8,3.162256259,0.765122134,3.647455477,0.234010576,Two smiling men in suits appear against a solid red background. Facial features exhibit severe distortion including malformed teeth and warped eye regions. Skin textures appear waxy while hair lacks natural fine detail.
joe biden very happy,xl2.2_normal_008.jpg,8,3.790180796,0.674059997,3.654274032,0.848578602,A man in a suit walks a flag-lined path toward a capitol-like building. The subject's facial structure and hand anatomy exhibit visible unnatural distortions. Distant details appear oversmoothed with repetitive textures and soft edges.
face shot of a woman,AttnGAN_normal_010.jpg,10,1.311956077,0.754244761,0.178657573,0.569770583,A blurry digital painting depicts a distorted electric guitar in close-up. The instrument's body and hardware are severely warped and semantically unreadable. Global oversmoothing eliminates all fine texture and edge definition.
face shot of a woman,DALLE2_normal_010.jpg,10,2.841733922,0.448757939,3.159306031,1.317152981,A high-key frontal portrait of a woman on a white background. Facial structure is clear but exhibits subtle distortion in the eyes and ears. Skin lacks pores and shows a waxy smoothness.
face shot of a woman,glide_normal_010.jpg,10,1.106599613,0.8161563,0.341602936,0.341917555,A frontal macro shot shows a distorted creature's head on a dark background. The subject's facial structure is severely malformed with fused and confusing features. Heavy blur and noise obscure all fine details.
face shot of a woman,midjourney_lowstep_010.jpg,10,3.066652656,0.426446392,3.592509994,0.774877561,A close-up photorealistic portrait of a woman's face set against darkness. The subject's facial features are clear and structurally stable. Skin textures appear slightly waxy and lack fine detail.
face shot of a woman,midjourney_normal_010.jpg,10,4.172725551,0.769329252,4.286204297,0.549834454,A photorealistic close-up portrait of a woman against a dark background. The facial structure is anatomically stable and semantically readable. Skin textures appear slightly waxy with reduced fine detail.
face shot of a woman,sd1.5_highcorr_010.jpg,10,0.887752418,0.543146071,1.460690493,1.184797491,A heavily blurred close-up portrait of a person on a plain background. The subject is structurally unreadable as features are lost to extreme smoothing. Severe global blur flattens all textures and destroys edge clarity.
face shot of a woman,sd1.5_lowcorr_010.jpg,10,2.897434093,0.646565153,3.763463406,0.654049046,A high-contrast black-and-white close-up portrait of a woman with heavy makeup. Facial structure remains coherent and semantically clear despite the tight framing. Skin textures appear overly smoothed and waxy.
face shot of a woman,sd1.5_lowstep_010.jpg,10,3.659493494,0.386315776,3.915003482,0.423033914,A photorealistic close-up portrait of a woman with long hair in soft focus. Facial anatomy and hair structure are coherent with no visible distortions. Skin exhibits subtle smoothing and peripheral details appear slightly soft.
face shot of a woman,sd1.5_normal_010.jpg,10,2.83450926,0.59033734,3.576346344,1.019465776,A photorealistic close-up portrait depicts a woman's face against a blurred background. The subject's facial features are coherent and well-formed without visible structural anomalies. Skin exhibits a waxy oversmoothed appearance with flattened textural details.
face shot of a woman,xl2.2_normal_010.jpg,10,3.931077949,0.428812245,3.814814682,0.349437528,A photorealistic front-facing headshot of a woman against a plain background. The facial anatomy is structurally stable and semantically readable without major distortions. Skin surfaces exhibit oversmoothing and a characteristic waxy plastic-like texture.
the prince of the sun,AttnGAN_normal_011.jpg,11,1.373098268,0.432051187,0.647652682,0.72337619,"A close-up shows abstract, fused organic forms on a vibrant, blurred background. The subject features malformed, bubble-like structures lacking coherent geometry and semantic readability. Surfaces look waxy and edges exhibit noticeable color bleeding."
the prince of the sun,DALLE2_normal_011.jpg,11,3.430745058,0.365402584,0.983010198,0.671414952,A photorealistic close-up portrait of a black horse's head against a sky. The horse's head is structurally stable though the muzzle shows slight fusion. Fur textures show mild waxiness and softened detail across the frame.
the prince of the sun,glide_normal_011.jpg,11,1.719307075,1.034112523,1.848675793,0.983798401,A blurry sunset depicts indistinct silhouettes against a glaringly bright sun. The central subject is structurally vague and lacks coherent anatomical definition. Heavy blur and a red artifact mar the background.
the prince of the sun,midjourney_lowstep_011.jpg,11,2.315150439,0.708509956,3.080096813,0.88535704,A centered digital painting shows a serene face in a golden sunburst. The face is stable but the lower body and rays appear malformed. Global oversmoothing flattens textures and obscures most fine details.
the prince of the sun,midjourney_normal_011.jpg,11,3.825753384,0.835835845,3.113705614,1.275609717,A centered ornate golden sun-face with intricate swirling patterns is set against a dark background. The subject's facial structure remains coherent beneath the dense decorative surface carvings. Fine details are sharp while deep shadows exhibit minor pseudo-texture.
the prince of the sun,sd1.5_highcorr_011.jpg,11,2.742340814,0.790415043,3.430465396,0.794066568,A stylized Art Deco portrait displays a headdress and a radiant solar emblem. The facial anatomy is recognizable despite minor structural simplifications and stylization. Background graininess and waxy textures affect the global surface quality.
the prince of the sun,sd1.5_lowcorr_011.jpg,11,3.116324583,0.41998477,2.979908012,0.639901652,A digital portrait depicts a person in an ornate tiered hat and coat. Facial features and garment details show minor structural instability and semantic confusion. Textures appear waxy while background edges lack sharp definition.
the prince of the sun,sd1.5_lowstep_011.jpg,11,1.977251303,0.616732069,2.11394401,0.853111778,"A centered illustration shows a stylized sun-headed figure against a colorful background. The subject's face is clear, but its hands and limbs appear malformed. Background textures appear soft and lack sharp definition."
the prince of the sun,sd1.5_normal_011.jpg,11,2.203182133,0.422209804,2.486100389,1.168908991,A muscular warrior in ornate armor stands with arms outstretched against rocky terrain. Anatomy is stable despite minor distortions in facial features and hand structure. Soft textures and subtle lighting inconsistencies characterize the painterly quality.
the prince of the sun,xl2.2_normal_011.jpg,11,3.524062705,1.060968213,3.627943604,0.606038082,A cinematic portrait depicts a man in ornate military dress against a cloudy sky. Facial anatomy and uniform geometry are coherent despite minor collar region fusion. Skin textures appear waxy and background clouds show soft melting.
everything is a dream,AttnGAN_normal_013.jpg,13,1.230273953,0.54561589,1.146784292,1.117565554,"A blurry close-up depicts a distorted mechanical interface with buttons and text. The subject suffers from severe geometric warping and fused, unrecognizable components. Extreme blur and waxy textures eliminate most surface detail."
everything is a dream,DALLE2_normal_013.jpg,13,3.010422973,0.389494056,1.18708799,1.160976524,"A photorealistic portrait shows a woman in a white chair with red fur. The subject's face is clear, but her hands are malformed with fused fingers. Skin appears waxy and the fur texture lacks detail."
everything is a dream,glide_normal_013.jpg,13,0.862881799,0.757172769,1.231874682,0.931758647,A close-up of a soft-focus white rose against a blue background. The subject's form is structurally ambiguous and lacks distinct petal separation. Intense global blurring removes texture and softens every image boundary.
everything is a dream,midjourney_lowstep_013.jpg,13,0.862881799,0.786103358,1.047561688,0.706540313,"A heavily blurred abstract composition centers on a vague, face-like form. The subject's structure is unrecognizable due to extreme loss of definition. Global oversmoothing produces a flat, waxy texture with no visible edges."
